"","initial.parasites","infection.length","penetrated.parasites","established.parasites","No.parasites","host.mort","host.pent.mort","parasite.mort","time.died","parasites.dead","t","total.parasites","total.parasites.detected","var.level","sim.num","unique.id","tolerance.diff"
"ind55124",30,180,30,14,0,0,0,0,5,12,20,12,11,"Higher Infection Resistance","25","25","no"
"ind56124",30,180,30,16,13,0,0,0,0,0,20,13,12,"Higher Infection Resistance","25","25","no"
"ind57124",30,180,30,16,0,0,0,0,4,16,20,16,13,"Higher Infection Resistance","25","25","no"
"ind58124",30,180,30,12,9,0,0,1,0,0,20,9,9,"Higher Infection Resistance","25","25","no"
"ind59124",30,180,30,12,0,0,0,0,8,12,20,12,12,"Higher Infection Resistance","25","25","no"
"ind60124",30,180,29,14,0,0,0,0,4,14,20,14,13,"Higher Infection Resistance","25","25","no"
"ind61126",30,180,30,20,16,0,0,1,0,0,20,16,15,"Higher Infection Resistance","25","25","no"
"ind62125",30,180,29,13,10,0,0,0,0,0,20,10,10,"Higher Infection Resistance","25","25","no"
"ind63124",30,180,30,14,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","25","25","no"
"ind64124",30,180,30,14,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","25","25","no"
"ind65124",30,180,30,13,9,0,0,0,0,0,20,9,8,"Higher Infection Resistance","25","25","no"
"ind66124",30,180,30,13,9,0,0,0,0,0,20,9,8,"Higher Infection Resistance","25","25","no"
"ind67124",30,180,30,12,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","25","25","no"
"ind68124",30,180,28,14,10,0,0,1,0,0,20,10,8,"Higher Infection Resistance","25","25","no"
"ind69124",30,180,30,15,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","25","25","no"
"ind70124",30,180,30,15,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","25","25","no"
"ind71126",30,180,30,10,7,0,0,1,0,0,20,7,5,"Higher Infection Resistance","25","25","no"
"ind72125",30,180,30,17,13,0,0,0,0,0,20,13,12,"Higher Infection Resistance","25","25","no"
"ind73124",30,180,30,17,13,0,0,0,0,0,20,13,11,"Higher Infection Resistance","25","25","no"
"ind74124",30,180,29,11,9,0,0,0,0,0,20,9,8,"Higher Infection Resistance","25","25","no"
"ind75124",30,180,30,14,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","25","25","no"
"ind76124",30,180,30,15,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","25","25","no"
"ind77124",30,180,30,17,15,0,0,0,0,0,20,15,15,"Higher Infection Resistance","25","25","no"
"ind78124",30,180,30,13,10,0,0,0,0,0,20,10,7,"Higher Infection Resistance","25","25","no"
"ind79124",30,180,30,16,15,0,0,1,0,0,20,15,14,"Higher Infection Resistance","25","25","no"
"ind80124",30,180,30,15,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","25","25","no"
"ind81126",30,180,30,7,5,0,0,0,0,0,20,5,5,"Higher Infection Resistance","25","25","no"
"ind82125",30,180,30,17,15,0,0,0,0,0,20,15,14,"Higher Infection Resistance","25","25","no"
"ind83124",30,180,30,15,14,0,0,0,0,0,20,14,14,"Higher Infection Resistance","25","25","no"
"ind84124",30,180,30,17,15,0,0,0,0,0,20,15,15,"Higher Infection Resistance","25","25","no"
"ind85124",30,180,30,20,0,0,0,0,18,17,20,17,17,"Higher Infection Resistance","25","25","no"
"ind86124",30,180,29,14,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","25","25","no"
"ind87124",30,180,30,16,13,0,0,2,0,0,20,13,12,"Higher Infection Resistance","25","25","no"
"ind88124",30,180,29,17,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","25","25","no"
"ind89124",30,180,30,18,15,0,0,0,0,0,20,15,15,"Higher Infection Resistance","25","25","no"
"ind90124",30,180,30,14,12,0,0,0,0,0,20,12,10,"Higher Infection Resistance","25","25","no"
"ind91126",30,180,30,15,0,0,0,0,7,15,20,15,14,"Higher Infection Resistance","25","25","no"
"ind92125",30,180,30,13,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","25","25","no"
"ind93124",30,180,30,10,9,0,0,0,0,0,20,9,9,"Higher Infection Resistance","25","25","no"
"ind94124",30,180,30,18,13,0,0,0,0,0,20,13,12,"Higher Infection Resistance","25","25","no"
"ind95124",30,180,30,18,16,0,0,0,0,0,20,16,14,"Higher Infection Resistance","25","25","no"
"ind96124",30,180,29,8,7,0,0,0,0,0,20,7,5,"Higher Infection Resistance","25","25","no"
"ind97124",30,180,30,22,0,0,0,0,14,19,20,19,16,"Higher Infection Resistance","25","25","no"
"ind98124",30,180,30,14,12,0,0,0,0,0,20,12,10,"Higher Infection Resistance","25","25","no"
"ind99124",30,180,30,17,13,0,0,0,0,0,20,13,12,"Higher Infection Resistance","25","25","no"
"ind100124",30,180,30,18,15,0,0,0,0,0,20,15,15,"Higher Infection Resistance","25","25","no"
"ind1146",30,180,30,13,5,0,0,1,0,0,20,5,5,"Higher Clearance","26","26","no"
"ind2146",30,180,30,14,1,0,0,0,0,0,20,1,0,"Higher Clearance","26","26","no"
"ind3146",30,180,29,20,4,0,0,1,0,0,20,4,4,"Higher Clearance","26","26","no"
"ind4146",30,180,28,18,4,0,0,1,0,0,20,4,4,"Higher Clearance","26","26","no"
"ind5146",30,180,30,16,7,0,0,0,0,0,20,7,6,"Higher Clearance","26","26","no"
"ind6146",30,180,30,19,3,0,0,0,0,0,20,3,3,"Higher Clearance","26","26","no"
"ind7146",30,180,29,11,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind8146",30,180,29,11,2,0,0,2,0,0,20,2,1,"Higher Clearance","26","26","no"
"ind9146",30,180,30,15,2,0,0,1,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind1035",30,180,28,11,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind1147",30,180,30,12,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind1236",30,180,30,11,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind1335",30,180,30,14,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind1435",30,180,30,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind1535",30,180,29,13,1,0,0,1,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind1635",30,180,30,15,3,0,0,0,0,0,20,3,2,"Higher Clearance","26","26","no"
"ind1735",30,180,30,13,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind1835",30,180,30,20,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind1935",30,180,29,13,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind2035",30,180,29,17,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind2147",30,180,30,13,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind2236",30,180,30,13,2,0,0,0,0,0,20,2,1,"Higher Clearance","26","26","no"
"ind2335",30,180,29,15,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind2435",30,180,30,14,0,0,0,0,10,6,20,6,5,"Higher Clearance","26","26","no"
"ind2535",30,180,30,22,3,0,0,1,0,0,20,3,2,"Higher Clearance","26","26","no"
"ind2635",30,180,30,17,3,0,0,0,0,0,20,3,3,"Higher Clearance","26","26","no"
"ind2735",30,180,30,15,5,0,0,0,0,0,20,5,4,"Higher Clearance","26","26","no"
"ind2835",30,180,30,15,0,0,0,1,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind2935",30,180,29,14,3,0,0,1,0,0,20,3,3,"Higher Clearance","26","26","no"
"ind3035",30,180,29,19,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind3147",30,180,29,12,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind3236",30,180,29,15,2,0,0,1,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind3335",30,180,30,16,0,0,0,0,5,11,20,11,9,"Higher Clearance","26","26","no"
"ind3435",30,180,30,13,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind3535",30,180,30,17,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind3635",30,180,30,14,4,0,0,0,0,0,20,4,4,"Higher Clearance","26","26","no"
"ind3735",30,180,30,16,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind3835",30,180,29,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind3935",30,180,30,10,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind4035",30,180,30,17,5,0,0,0,0,0,20,5,4,"Higher Clearance","26","26","no"
"ind4147",30,180,30,12,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind4236",30,180,30,13,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind4335",30,180,30,16,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind4435",30,180,30,12,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind4535",30,180,29,20,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind4635",30,180,30,14,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind4735",30,180,30,13,4,0,0,0,0,0,20,4,4,"Higher Clearance","26","26","no"
"ind4835",30,180,30,18,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind4935",30,180,29,13,1,0,0,1,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind5035",30,180,30,17,4,0,0,0,0,0,20,4,4,"Higher Clearance","26","26","no"
"ind5147",30,180,28,8,4,0,0,0,0,0,20,4,4,"Higher Clearance","26","26","no"
"ind5236",30,180,29,18,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind5335",30,180,30,11,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind5435",30,180,30,12,0,0,0,0,2,12,20,12,11,"Higher Clearance","26","26","no"
"ind5535",30,180,30,16,3,0,0,0,0,0,20,3,2,"Higher Clearance","26","26","no"
"ind5635",30,180,30,14,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind5735",30,180,29,16,5,0,0,0,0,0,20,5,5,"Higher Clearance","26","26","no"
"ind5835",30,180,29,16,3,0,0,0,0,0,20,3,3,"Higher Clearance","26","26","no"
"ind5935",30,180,30,12,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind6035",30,180,30,15,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind6147",30,180,30,17,4,0,0,0,0,0,20,4,4,"Higher Clearance","26","26","no"
"ind6236",30,180,29,11,0,0,0,1,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind6335",30,180,30,13,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind6435",30,180,30,13,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind6535",30,180,30,14,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind6635",30,180,29,16,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind6735",30,180,30,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind6835",30,180,30,16,2,0,0,1,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind6935",30,180,29,15,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind7035",30,180,30,10,1,0,0,1,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind7147",30,180,30,16,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind7236",30,180,30,16,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind7335",30,180,29,11,5,0,0,0,0,0,20,5,5,"Higher Clearance","26","26","no"
"ind7435",30,180,29,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind7535",30,180,30,17,3,0,0,0,0,0,20,3,2,"Higher Clearance","26","26","no"
"ind7635",30,180,30,13,3,0,0,1,0,0,20,3,3,"Higher Clearance","26","26","no"
"ind7735",30,180,30,16,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind7835",30,180,30,15,2,0,0,1,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind7935",30,180,30,9,2,0,0,0,0,0,20,2,1,"Higher Clearance","26","26","no"
"ind8035",30,180,29,17,1,0,0,0,0,0,20,1,0,"Higher Clearance","26","26","no"
"ind8147",30,180,30,13,0,0,0,0,7,6,20,6,5,"Higher Clearance","26","26","no"
"ind8236",30,180,30,16,3,0,0,0,0,0,20,3,3,"Higher Clearance","26","26","no"
"ind8335",30,180,29,12,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind8435",30,180,30,11,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind8535",30,180,30,12,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind8635",30,180,30,18,0,0,0,0,9,7,20,7,7,"Higher Clearance","26","26","no"
"ind8735",30,180,30,13,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind8835",30,180,29,11,0,0,0,0,0,0,20,0,0,"Higher Clearance","26","26","no"
"ind8935",30,180,29,16,2,0,0,1,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind9035",30,180,30,13,3,0,0,0,0,0,20,3,3,"Higher Clearance","26","26","no"
"ind9147",30,180,30,10,0,0,0,0,9,5,20,5,5,"Higher Clearance","26","26","no"
"ind9236",30,180,30,16,4,0,0,0,0,0,20,4,3,"Higher Clearance","26","26","no"
"ind9335",30,180,30,25,4,0,0,1,0,0,20,4,3,"Higher Clearance","26","26","no"
"ind9435",30,180,30,12,0,0,0,0,7,7,20,7,7,"Higher Clearance","26","26","no"
"ind9535",30,180,30,15,4,0,0,0,0,0,20,4,4,"Higher Clearance","26","26","no"
"ind9635",30,180,30,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind9735",30,180,29,14,2,0,0,0,0,0,20,2,2,"Higher Clearance","26","26","no"
"ind9835",30,180,30,12,3,0,0,0,0,0,20,3,3,"Higher Clearance","26","26","no"
"ind9935",30,180,30,13,3,0,0,0,0,0,20,3,3,"Higher Clearance","26","26","no"
"ind10035",30,180,30,19,1,0,0,0,0,0,20,1,1,"Higher Clearance","26","26","no"
"ind11025",30,180,30,16,14,0,0,0,0,0,20,14,12,"Higher Infection Resistance","26","26","no"
"ind21025",30,180,29,16,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","26","26","no"
"ind31025",30,180,29,12,11,0,0,0,0,0,20,11,9,"Higher Infection Resistance","26","26","no"
"ind41025",30,180,30,15,11,0,0,1,0,0,20,11,9,"Higher Infection Resistance","26","26","no"
"ind51025",30,180,29,9,9,0,0,0,0,0,20,9,9,"Higher Infection Resistance","26","26","no"
"ind61025",30,180,30,12,0,0,0,0,16,9,20,9,9,"Higher Infection Resistance","26","26","no"
"ind71025",30,180,30,12,8,0,0,0,0,0,20,8,7,"Higher Infection Resistance","26","26","no"
"ind81025",30,180,29,13,0,0,0,0,6,13,20,13,12,"Higher Infection Resistance","26","26","no"
"ind91025",30,180,29,12,9,0,0,1,0,0,20,9,9,"Higher Infection Resistance","26","26","no"
"ind10125",30,180,30,16,14,0,0,0,0,0,20,14,12,"Higher Infection Resistance","26","26","no"
"ind11127",30,180,30,12,0,0,0,0,3,12,20,12,10,"Higher Infection Resistance","26","26","no"
"ind12126",30,180,30,16,15,0,0,0,0,0,20,15,13,"Higher Infection Resistance","26","26","no"
"ind13125",30,180,29,14,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","26","26","no"
"ind14125",30,180,30,16,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","26","26","no"
"ind15125",30,180,29,16,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","26","26","no"
"ind16125",30,180,29,17,13,0,0,1,0,0,20,13,12,"Higher Infection Resistance","26","26","no"
"ind17125",30,180,29,13,11,0,0,0,0,0,20,11,9,"Higher Infection Resistance","26","26","no"
"ind18125",30,180,30,10,7,0,0,0,0,0,20,7,5,"Higher Infection Resistance","26","26","no"
"ind19125",30,180,29,17,15,0,0,0,0,0,20,15,15,"Higher Infection Resistance","26","26","no"
"ind20125",30,180,30,15,11,0,0,1,0,0,20,11,10,"Higher Infection Resistance","26","26","no"
"ind21127",30,180,30,15,14,0,0,0,0,0,20,14,13,"Higher Infection Resistance","26","26","no"
"ind22126",30,180,30,14,13,0,0,0,0,0,20,13,13,"Higher Infection Resistance","26","26","no"
"ind23125",30,180,29,21,0,0,0,0,2,21,20,21,16,"Higher Infection Resistance","26","26","no"
"ind24125",30,180,30,14,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","26","26","no"
"ind25125",30,180,30,17,13,0,0,0,0,0,20,13,11,"Higher Infection Resistance","26","26","no"
"ind26125",30,180,30,12,9,0,0,0,0,0,20,9,8,"Higher Infection Resistance","26","26","no"
"ind27125",30,180,29,12,8,0,0,0,0,0,20,8,7,"Higher Infection Resistance","26","26","no"
"ind28125",30,180,30,12,8,0,0,0,0,0,20,8,8,"Higher Infection Resistance","26","26","no"
"ind29125",30,180,30,17,15,0,0,0,0,0,20,15,13,"Higher Infection Resistance","26","26","no"
"ind30125",30,180,30,15,13,0,0,0,0,0,20,13,13,"Higher Infection Resistance","26","26","no"
"ind31127",30,180,30,22,0,0,0,0,12,19,20,19,16,"Higher Infection Resistance","26","26","no"
"ind32126",30,180,30,15,12,0,0,0,0,0,20,12,10,"Higher Infection Resistance","26","26","no"
"ind33125",30,180,30,10,9,0,0,0,0,0,20,9,9,"Higher Infection Resistance","26","26","no"
"ind34125",30,180,30,16,12,0,0,0,0,0,20,12,9,"Higher Infection Resistance","26","26","no"
"ind35125",30,180,30,14,13,0,0,0,0,0,20,13,9,"Higher Infection Resistance","26","26","no"
"ind36125",30,180,30,16,15,0,0,1,0,0,20,15,13,"Higher Infection Resistance","26","26","no"
"ind37125",30,180,29,13,10,0,0,0,0,0,20,10,10,"Higher Infection Resistance","26","26","no"
"ind38125",30,180,30,14,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","26","26","no"
"ind39125",30,180,30,16,14,0,0,0,0,0,20,14,14,"Higher Infection Resistance","26","26","no"
"ind40125",30,180,28,14,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","26","26","no"
"ind41127",30,180,30,14,12,0,0,1,0,0,20,12,12,"Higher Infection Resistance","26","26","no"
"ind42126",30,180,30,17,14,0,0,0,0,0,20,14,12,"Higher Infection Resistance","26","26","no"
"ind43125",30,180,30,15,0,0,0,0,7,14,20,14,14,"Higher Infection Resistance","26","26","no"
"ind44125",30,180,30,15,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","26","26","no"
"ind45125",30,180,28,18,17,0,0,0,0,0,20,17,14,"Higher Infection Resistance","26","26","no"
"ind46125",30,180,30,16,13,0,0,0,0,0,20,13,12,"Higher Infection Resistance","26","26","no"
"ind47125",30,180,28,15,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","26","26","no"
"ind48125",30,180,30,9,6,0,0,0,0,0,20,6,5,"Higher Infection Resistance","26","26","no"
"ind49125",30,180,30,13,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","26","26","no"
"ind50125",30,180,30,14,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","26","26","no"
"ind51127",30,180,30,13,0,0,0,0,5,13,20,13,13,"Higher Infection Resistance","26","26","no"
"ind52126",30,180,28,10,8,0,0,0,0,0,20,8,8,"Higher Infection Resistance","26","26","no"
"ind53125",30,180,30,15,13,0,0,0,0,0,20,13,10,"Higher Infection Resistance","26","26","no"
"ind54125",30,180,30,10,10,0,0,0,0,0,20,10,10,"Higher Infection Resistance","26","26","no"
"ind55125",30,180,30,15,13,0,0,0,0,0,20,13,13,"Higher Infection Resistance","26","26","no"
"ind56125",30,180,30,12,10,0,0,0,0,0,20,10,8,"Higher Infection Resistance","26","26","no"
"ind57125",30,180,30,14,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","26","26","no"
"ind58125",30,180,29,12,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","26","26","no"
"ind59125",30,180,30,11,10,0,0,0,0,0,20,10,9,"Higher Infection Resistance","26","26","no"
"ind60125",30,180,30,14,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","26","26","no"
"ind61127",30,180,29,19,0,0,0,0,7,18,20,18,15,"Higher Infection Resistance","26","26","no"
"ind62126",30,180,30,10,8,0,0,1,0,0,20,8,6,"Higher Infection Resistance","26","26","no"
"ind63125",30,180,30,16,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","26","26","no"
"ind64125",30,180,30,12,9,0,0,0,0,0,20,9,9,"Higher Infection Resistance","26","26","no"
"ind65125",30,180,29,15,12,0,0,0,0,0,20,12,10,"Higher Infection Resistance","26","26","no"
"ind66125",30,180,30,18,0,0,0,0,6,16,20,16,15,"Higher Infection Resistance","26","26","no"
"ind67125",30,180,30,13,10,0,0,1,0,0,20,10,9,"Higher Infection Resistance","26","26","no"
"ind68125",30,180,30,15,13,0,0,0,0,0,20,13,13,"Higher Infection Resistance","26","26","no"
"ind69125",30,180,29,15,13,0,0,0,0,0,20,13,13,"Higher Infection Resistance","26","26","no"
"ind70125",30,180,30,13,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","26","26","no"
"ind71127",30,180,30,14,14,0,0,0,0,0,20,14,12,"Higher Infection Resistance","26","26","no"
"ind72126",30,180,30,13,13,0,0,0,0,0,20,13,13,"Higher Infection Resistance","26","26","no"
"ind73125",30,180,30,13,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","26","26","no"
"ind74125",30,180,30,14,10,0,0,0,0,0,20,10,10,"Higher Infection Resistance","26","26","no"
"ind75125",30,180,30,17,15,0,0,1,0,0,20,15,14,"Higher Infection Resistance","26","26","no"
"ind76125",30,180,29,15,13,0,0,0,0,0,20,13,11,"Higher Infection Resistance","26","26","no"
"ind77125",30,180,30,14,10,0,0,0,0,0,20,10,9,"Higher Infection Resistance","26","26","no"
"ind78125",30,180,30,14,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","26","26","no"
"ind79125",30,180,30,16,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","26","26","no"
"ind80125",30,180,30,16,13,0,0,0,0,0,20,13,11,"Higher Infection Resistance","26","26","no"
"ind81127",30,180,29,14,14,0,0,0,0,0,20,14,11,"Higher Infection Resistance","26","26","no"
"ind82126",30,180,30,17,14,0,0,0,0,0,20,14,13,"Higher Infection Resistance","26","26","no"
"ind83125",30,180,30,17,14,0,0,0,0,0,20,14,14,"Higher Infection Resistance","26","26","no"
"ind84125",30,180,30,17,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","26","26","no"
"ind85125",30,180,30,13,10,0,0,0,0,0,20,10,10,"Higher Infection Resistance","26","26","no"
"ind86125",30,180,30,9,8,0,0,0,0,0,20,8,8,"Higher Infection Resistance","26","26","no"
"ind87125",30,180,29,16,14,0,0,0,0,0,20,14,14,"Higher Infection Resistance","26","26","no"
"ind88125",30,180,30,12,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","26","26","no"
"ind89125",30,180,30,14,0,0,0,0,3,14,20,14,11,"Higher Infection Resistance","26","26","no"
"ind90125",30,180,30,11,8,0,0,0,0,0,20,8,8,"Higher Infection Resistance","26","26","no"
"ind91127",30,180,30,15,0,0,0,0,17,13,20,13,11,"Higher Infection Resistance","26","26","no"
"ind92126",30,180,29,13,13,0,0,0,0,0,20,13,11,"Higher Infection Resistance","26","26","no"
"ind93125",30,180,30,16,15,0,0,0,0,0,20,15,14,"Higher Infection Resistance","26","26","no"
"ind94125",30,180,30,15,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","26","26","no"
"ind95125",30,180,30,16,13,0,0,0,0,0,20,13,11,"Higher Infection Resistance","26","26","no"
"ind96125",30,180,29,11,9,0,0,0,0,0,20,9,9,"Higher Infection Resistance","26","26","no"
"ind97125",30,180,30,13,10,0,0,0,0,0,20,10,9,"Higher Infection Resistance","26","26","no"
"ind98125",30,180,30,18,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","26","26","no"
"ind99125",30,180,29,13,11,0,0,0,0,0,20,11,7,"Higher Infection Resistance","26","26","no"
"ind100125",30,180,30,13,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","26","26","no"
"ind1148",30,180,30,13,0,0,0,1,0,0,20,0,0,"Higher Clearance","27","27","no"
"ind2148",30,180,30,19,0,0,0,0,5,16,20,16,15,"Higher Clearance","27","27","no"
"ind3148",30,180,30,15,1,0,0,0,0,0,20,1,1,"Higher Clearance","27","27","no"
"ind4148",30,180,29,14,0,0,0,1,0,0,20,0,0,"Higher Clearance","27","27","no"
"ind5148",30,180,30,11,1,0,0,0,0,0,20,1,1,"Higher Clearance","27","27","no"
"ind6148",30,180,30,15,1,0,0,1,0,0,20,1,1,"Higher Clearance","27","27","no"
"ind7148",30,180,30,14,3,0,0,0,0,0,20,3,2,"Higher Clearance","27","27","no"
"ind8148",30,180,28,14,0,0,0,0,11,8,20,8,8,"Higher Clearance","27","27","no"
"ind9148",30,180,30,14,2,0,0,0,0,0,20,2,2,"Higher Clearance","27","27","no"
"ind1036",30,180,30,15,1,0,0,0,0,0,20,1,0,"Higher Clearance","27","27","no"
"ind1149",30,180,29,16,2,0,0,0,0,0,20,2,1,"Higher Clearance","27","27","no"
"ind1237",30,180,29,9,1,0,0,0,0,0,20,1,0,"Higher Clearance","27","27","no"
"ind1336",30,180,30,15,2,0,0,0,0,0,20,2,1,"Higher Clearance","27","27","no"
"ind1436",30,180,30,15,3,0,0,0,0,0,20,3,3,"Higher Clearance","27","27","no"
"ind1536",30,180,30,17,3,0,0,0,0,0,20,3,3,"Higher Clearance","27","27","no"
"ind1636",30,180,30,13,4,0,0,0,0,0,20,4,4,"Higher Clearance","27","27","no"
"ind1736",30,180,29,10,0,0,0,1,0,0,20,0,0,"Higher Clearance","27","27","no"
"ind1836",30,180,29,17,2,0,0,0,0,0,20,2,2,"Higher Clearance","27","27","no"
"ind1936",30,180,30,18,2,0,0,1,0,0,20,2,2,"Higher Clearance","27","27","no"
"ind2036",30,180,29,12,0,0,0,0,2,12,20,12,11,"Higher Clearance","27","27","no"
"ind2149",30,180,30,16,0,0,0,0,9,7,20,7,6,"Higher Clearance","27","27","no"
"ind2237",30,180,30,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","27","27","no"
"ind2336",30,180,30,15,1,0,0,0,0,0,20,1,1,"Higher Clearance","27","27","no"
"ind2436",30,180,29,13,2,0,0,0,0,0,20,2,2,"Higher Clearance","27","27","no"
"ind2536",30,180,29,15,4,0,0,0,0,0,20,4,4,"Higher Clearance","27","27","no"
"ind2636",30,180,30,13,0,0,0,0,0,0,20,0,0,"Higher Clearance","27","27","no"
"ind2736",30,180,30,14,2,0,0,0,0,0,20,2,2,"Higher Clearance","27","27","no"
"ind2836",30,180,29,14,0,0,0,0,4,10,20,10,9,"Higher Clearance","27","27","no"
"ind2936",30,180,30,12,2,0,0,0,0,0,20,2,2,"Higher Clearance","27","27","no"
"ind3036",30,180,30,15,0,0,0,0,0,0,20,0,0,"Higher Clearance","27","27","no"
"ind3149",30,180,30,19,4,0,0,0,0,0,20,4,4,"Higher Clearance","27","27","no"
"ind3237",30,180,30,13,2,0,0,0,0,0,20,2,2,"Higher Clearance","27","27","no"
"ind3336",30,180,29,12,3,0,0,0,0,0,20,3,2,"Higher Clearance","27","27","no"
"ind3436",30,180,29,14,3,0,0,0,0,0,20,3,3,"Higher Clearance","27","27","no"
